MESA;DEPARTAMENTO;MUNICIPIO;PADRÓN;COMUNIDAD;NOMBRE DEL ESTABLECIMIENTO;UBICACIÓN/DIRECCIÓN
20;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
21;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
22;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
23;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
24;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
25;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
26;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
27;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
28;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
29;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
30;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
31;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
32;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL CENTRAL;9 AVENIDA 9-27
33;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
34;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
35;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
36;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
37;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
38;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
39;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
40;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
41;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
42;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
43;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
44;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
45;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO VICTOR MANUEL DE LA ROCA;3 CALLE 1-33
46;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
47;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
48;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
49;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
50;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
51;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
52;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
53;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
54;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
55;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
56;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
57;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
58;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
59;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
60;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
61;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
62;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
63;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA NORTE ENTRADA SOBRE LA;6 AVENIDA ENTRE
64;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
65;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
66;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
67;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
68;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
69;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
70;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
71;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
72;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
73;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
74;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
75;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
76;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
77;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
78;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
79;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
80;Distrito Central;Guatemala;218;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
81;Distrito Central;Guatemala;217;CABECERA MUNICIPAL;PARQUEO PARQUE CENTRAL ALA SUR ENTRADA SOBRE LA;8 CALLE ENTRE 6 Y
82;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
83;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
84;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
85;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
86;Distrito Central;Guatemala;273;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
87;Distrito Central;Guatemala;272;CABECERA MUNICIPAL;INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA;3 CALLE 15-45 CON ORIENTACIÓN OCUPACIONAL PEMEM II
88;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
89;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
90;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
91;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
92;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
93;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
94;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
95;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
96;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
97;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
98;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
99;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
100;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
101;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
102;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
103;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
104;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
105;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
106;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
107;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
108;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
109;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
110;Distrito Central;Guatemala;359;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
111;Distrito Central;Guatemala;358;CABECERA MUNICIPAL;INSTITUTO CENTRAL NORMAL PARA SEÑORITAS BELÉN;11 AVENIDA 12-20
112;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
113;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
114;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
115;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
116;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
117;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
118;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
119;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
120;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
121;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
122;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
123;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
124;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
125;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
126;Distrito Central;Guatemala;344;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
127;Distrito Central;Guatemala;344;CABECERA MUNICIPAL;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS INCA;1 CALLE 2-64
128;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
129;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
130;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
131;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
132;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
133;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
134;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
135;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
136;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
137;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
138;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
139;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
140;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
141;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
142;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
143;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
144;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
145;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
146;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
147;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
148;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;10 INTECAP TICS PARQUEO;CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79
149;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA NÚMERO 30 REPÚBLICA DEL;26 AVENIDA 32-00 PERÚ
150;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA NÚMERO 30 REPÚBLICA DEL;26 AVENIDA 32-00 PERÚ
151;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA NÚMERO 30 REPÚBLICA DEL;26 AVENIDA 32-00 PERÚ
152;Distrito Central;Guatemala;293;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA NÚMERO 30 REPÚBLICA DEL;26 AVENIDA 32-00 PERÚ
153;Distrito Central;Guatemala;293;CABECERA MUNICIPAL;ESCUELA OFICIAL URBANA MIXTA NÚMERO 30 REPÚBLICA DEL;26 AVENIDA 32-00 PERÚ
154;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
155;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
156;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
157;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
158;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
159;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
160;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
161;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
162;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
163;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
164;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
165;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
166;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
167;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
168;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
169;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
170;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
171;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
172;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
173;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
174;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
175;Distrito Central;Guatemala;400;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
176;Distrito Central;Guatemala;314;CABECERA MUNICIPAL;INSTITUTO PARA VARONES ADRIÁN ZAPATA;12 AVENIDA B 8-03
